architecture,n_params,n_runs,val_mean,val_ci_lo,val_ci_hi,test_mean,test_ci_lo,test_ci_hi,upper_bound,headroom_val,headroom_test,captured_frac
MLP-Tiny,1285,30,53.99395710029064,53.31813763127976,54.65738056930156,55.27612251296577,54.8338716711214,55.72131784145525,100.0,46.00604289970936,44.72387748703423,0.027869500001775356
MLP-Mini,2560,30,55.145223530461564,54.23840184925113,56.054471588026374,56.33201511952659,55.71092889257298,56.96511972818562,100.0,44.854776469538436,43.66798488047341,0.02645853312569715
MLP-Small,5110,30,58.18681071655183,57.372522470910006,59.06456009079864,59.74390778554552,59.13138864140525,60.37919694124754,100.0,41.81318928344817,40.25609221445448,0.03723937579691067
MLP-Base,15210,30,60.07668653313017,59.23030098862732,60.91886070689398,61.33340264382768,60.59397655394315,62.05489876231757,100.0,39.92331346686983,38.66659735617232,0.03147825171726767
MLP-Large,25310,30,61.742913229272546,61.06460845339458,62.42764264230499,62.64850864308719,61.997926075004436,63.304262230163765,100.0,38.257086770727454,37.35149135691281,0.023671311389751825
MLP-Larger,90610,30,63.58168571651308,62.89161228801026,64.27488344854653,64.75055269226674,64.22548357035797,65.28956960315188,100.0,36.41831428348692,35.24944730773326,0.032095581543258186
MLP-Giant,130810,30,64.58888856040677,63.96967426781406,65.20281796634589,65.56084677853073,65.0302772246279,66.12445589400846,100.0,35.41111143959323,34.43915322146927,0.027447831446408954
MLP-Huge,195910,30,64.24664720897412,63.39180181098795,65.10067810703451,64.96168433270171,64.26688594730167,65.6522810113761,100.0,35.753352791025875,35.03831566729829,0.019999162817173847
