architecture,n_params,n_runs,mean_val_strategy,std_val_strategy,mean_test_strategy,std_test_strategy,mean_gap,std_gap,median_gap,max_gap,pct_runs_with_gap,n_zero_gap,p_a_gt_b,ci_lower,ci_upper,significant,meaningful,conclusion
MLP-Tiny,1285,30,53.99395710029064,1.920648249236658,55.27612251296577,1.2646566003473707,1.2821654126751205,1.4746139140735708,0.887535243394435,4.858299595141695,66.66666666666666,10,0.8333333333333334,0.75,0.9166666666666666,True,True,True
MLP-Mini,2560,30,55.145223530461564,2.5364972009213673,56.33201511952659,1.784479333630754,1.1867915890650276,1.494450629252414,0.4118099286610572,3.984063745019917,53.333333333333336,14,0.7666666666666667,0.6833333333333333,0.85,True,True,True
MLP-Small,5110,30,58.18681071655183,2.406958118108408,59.74390778554552,1.7946645940998598,1.5570970689936823,1.495139738666851,1.4336104812295325,4.979811574697173,70.0,9,0.85,0.7666666666666667,0.9333333333333333,True,True,True
MLP-Base,15210,30,60.07668653313017,2.439126057507285,61.33340264382768,2.0729013535092147,1.2567161106975098,1.1734781345959993,1.3441248735366358,3.485254691689008,73.33333333333333,8,0.8666666666666667,0.7833333333333333,0.9333333333333333,True,True,True
MLP-Large,25310,30,61.742913229272546,1.9550720032342668,62.64850864308719,1.882571637923897,0.9055954138146336,1.1080842731581835,0.471265432603321,3.978052126200268,66.66666666666666,10,0.8333333333333334,0.75,0.9166666666666666,True,True,True
MLP-Larger,90610,30,63.58168571651308,1.9709651145054157,64.75055269226674,1.5033443071450303,1.1688669757536734,1.6894063266266475,0.3415453946580413,5.54016620498615,56.666666666666664,13,0.7833333333333333,0.7,0.8666666666666667,True,True,True
MLP-Giant,130810,30,64.58888856040677,1.7601884196846675,65.56084677853073,1.5475459965333758,0.9719582181239598,1.5652840955766532,0.0,5.932203389830512,43.333333333333336,17,0.7166666666666667,0.6333333333333333,0.8,True,True,True
MLP-Huge,195910,30,64.24664720897412,2.4555268770665117,64.96168433270171,2.003303778164148,0.7150371237275837,1.0414119928251968,0.0,3.80952380952381,40.0,18,0.7,0.6166666666666667,0.7833333333333333,True,True,True
