architecture,run,trial,val_acc,test_acc,train_seed,lr,weight_decay,momentum,max_steps
shake_shake_32d,0,0,95.1593967307866,94.7534766118837,181770554,0.1346739132102555,7.910379912183319e-05,0.8555039404006792,104943
shake_shake_32d,0,1,95.35807820825433,95.14177352356872,1271103007,0.1847776950521747,0.0003234682238636,0.8697586198466206,109937
shake_shake_32d,0,2,93.87699810349498,93.36283185840708,1639159395,0.0564574888123501,1.2078595837328665e-05,0.9129990569962178,98705
shake_shake_32d,0,3,92.92874559739909,92.74878092830052,753232273,0.0161667005116672,3.657105189458483e-05,0.8759964495913312,132326
shake_shake_32d,0,4,95.43032601824255,95.04244175546324,980481979,0.0447025610873617,0.0006045151525009,0.9390259756606988,140026
shake_shake_32d,0,5,94.19308227219362,93.99494310998736,788608760,0.3503057583829411,1.796110865205715e-05,0.8568126469224675,75028
shake_shake_32d,0,6,95.1593967307866,94.99729095177894,322433848,0.0204048684396444,0.0014491598625844,0.9488029400642496,133731
shake_shake_32d,0,7,94.41885667840694,94.21166696767204,1696503096,0.0082242977974314,0.0010233154318959,0.847432734948962,91626
shake_shake_32d,0,8,95.16842770703514,95.43073866714828,1040293948,0.0499474888098182,0.0002973345973731,0.8633822056400213,132636
shake_shake_32d,0,9,92.49525873746953,92.04442839082536,1263930398,0.0125408643280303,0.0044614404471992,0.9566211526046018,102085
shake_shake_32d,0,10,92.27851530750476,91.80061405093012,1841703965,0.0070462190332091,0.0001263976662663,0.907793886774828,87257
shake_shake_32d,0,11,95.52966675697644,94.97923063030522,712061704,0.0098935763863746,0.0050044783229202,0.9069050359348444,88839
shake_shake_32d,0,12,95.31292332701165,95.15983384504244,1445395669,0.0070066466309083,0.0032351727014936,0.8757022267529622,136207
shake_shake_32d,0,13,92.84746681116228,92.39660465956294,1482208119,0.0130183886030728,0.0001178143147416,0.8166386009954693,125220
shake_shake_32d,0,14,94.98780818206448,95.18692432725302,1137047510,0.0391196674003323,0.0002825194052688,0.96623387282754,109062
shake_shake_32d,0,15,94.53625936963786,94.5638432364096,458698904,0.1462910138554473,6.439632887632358e-05,0.8108066919625939,87479
shake_shake_32d,0,16,93.25386074234623,92.94744446451146,1249253938,0.0480518434280585,2.4454067349881504e-05,0.8372531526502518,84244
shake_shake_32d,0,17,90.72518739275716,90.72602492324364,1974626259,0.0050764099639005,2.7060121436068973e-05,0.8780209862423191,104052
shake_shake_32d,0,18,43.845389686625126,44.44645114683041,1611150135,0.0697424219753668,0.0067769901408116,0.9781716283626984,94796
shake_shake_32d,0,19,84.06935789758873,83.8360122810186,1315363173,0.4202686608964857,0.0009185228101752,0.8744789582369339,125538
shake_shake_32d,0,20,92.38688702248712,92.23406176629943,190140924,0.0148112330963303,9.487971571017836e-05,0.8535419758012616,78342
shake_shake_32d,0,21,93.61509979228757,93.32671121545964,751624847,0.0835969981610546,1.141007795888318e-05,0.8220175552817364,90236
shake_shake_32d,0,22,95.03296306330716,94.89795918367346,185184074,0.3421303291978707,3.425278485250599e-05,0.8916113024656689,116644
shake_shake_32d,0,23,91.64634697010749,91.59292035398232,1449164733,0.1018725089748539,0.0022612233893622,0.8746360676422763,75302
shake_shake_32d,0,24,94.69881694211143,94.71735596893625,243426578,0.333207656475233,2.9614285139584112e-05,0.8142780068748119,114959
shake_shake_32d,0,25,94.58141425088051,94.41033050388296,165461200,0.0171275056204766,0.0006130411406314,0.8229424995810609,97537
shake_shake_32d,0,26,95.40323308949698,95.29528625609537,1475338775,0.1801375689892113,0.0002644035491684,0.8089129129217383,87512
shake_shake_32d,0,27,94.79815768084528,94.53675275419904,2068778065,0.0080722734334708,0.0012293323015092,0.8265752968778134,109122
shake_shake_32d,0,28,94.44594960715251,94.54578291493588,2062049850,0.0153162595771106,0.0087438389599533,0.8626306238614276,100184
shake_shake_32d,0,29,94.96071525331888,95.3314068990428,1314776948,0.2890742696077261,0.0001237350335062,0.8181056548427108,103445
shake_shake_32d,1,0,88.96333182435491,88.47546623212023,294618964,0.202640438873457,0.0007907433209255,0.9144232202783892,108215
shake_shake_32d,1,1,93.7347215934812,93.52706862212564,1297928306,0.0524636383350076,0.0055307403506265,0.8187223707631948,84297
shake_shake_32d,1,2,93.70755998189226,93.69907658881044,369080047,0.0171698573419809,0.0009249046324974,0.9753895443863984,116293
shake_shake_32d,1,3,29.83250339520145,31.124388919065726,124536575,0.237347313387459,0.0083567616321689,0.9716404174224496,79009
shake_shake_32d,1,4,95.19239474875508,95.3286257468767,417717785,0.0800149994483492,0.0001170492797018,0.9646382958964924,118142
shake_shake_32d,1,5,91.22679945676776,91.04653268151368,1589097076,0.0331480726165108,0.0039167303514667,0.9276765820787748,91467
shake_shake_32d,1,6,95.18334087822544,94.93934455911642,933801339,0.0683900060241508,0.0001706305016954,0.9178341684164056,77105
shake_shake_32d,1,7,95.2648257129923,95.07514032228862,979949644,0.4023150569448985,2.5999878005040908e-05,0.9448239863940592,121167
shake_shake_32d,1,8,94.60389316432774,94.51385116784355,498061138,0.0598159667717591,6.802315603657985e-05,0.8993115751867484,104567
shake_shake_32d,1,9,85.83069262109552,85.7504979177983,1104745817,0.1849842354666428,0.0001224786909074,0.98783088660315,123772
shake_shake_32d,1,10,38.777727478497056,39.95111352525801,863372328,0.2903953858838588,0.0034793749501199,0.91220058041067,102146
shake_shake_32d,1,11,64.68085106382979,64.78363208401231,1910341444,0.1916245827126898,0.003315894464255,0.88198366462276,101862
shake_shake_32d,1,12,94.81213218650971,94.3056309976462,1941085886,0.0647666347310278,7.746862121809876e-05,0.8615938042316993,109905
shake_shake_32d,1,13,95.3553644182888,95.1475647293138,2072495165,0.0291751772798001,0.0004093356286902,0.9544384135832468,88113
shake_shake_32d,1,14,94.8936170212766,94.56816947311243,1394535810,0.0258087791795201,0.0004586910161731,0.8285441953052578,99060
shake_shake_32d,1,15,94.9841557265731,94.51385116784355,2119984236,0.2732985356017612,3.630504220547164e-05,0.8186405051771309,128055
shake_shake_32d,1,16,95.40063377093708,95.02082201701974,1012697582,0.0454406266269038,0.000743713302026,0.8043840769912812,89658
shake_shake_32d,1,17,94.10593028519692,93.8077131993482,358636310,0.0868010380317623,1.1700255298542062e-05,0.893089119341446,118723
shake_shake_32d,1,18,91.51652331371662,91.33623030961434,2118470686,0.083364552820619,0.0001966344312598,0.9827846634236318,81113
shake_shake_32d,1,19,95.29198732458126,95.33767879775483,1821724244,0.0288184554737551,0.0002232066236177,0.9529058663413932,97176
shake_shake_32d,1,20,50.076957899502034,50.76950932464241,1016008,0.3490727837224809,0.002471349135841,0.8981419348896665,119683
shake_shake_32d,1,21,95.00226346763242,94.72207133804092,1483878945,0.0509574693567989,0.0001688185625203,0.8250328115887273,122547
shake_shake_32d,1,22,94.42281575373472,94.37805540467136,950618490,0.0360164597203873,3.288700104308004e-05,0.951859716322192,128629
shake_shake_32d,1,23,95.40968764146672,95.22904218721708,517997629,0.011816108102381,0.0015081869531651,0.8484462499432502,117658
shake_shake_32d,1,24,95.2105024898144,95.10229947492304,884398770,0.4372857820259022,0.0002020565276913,0.8040673884052798,87896
shake_shake_32d,1,25,93.6985061113626,93.17399963787796,613587441,0.0054831434310751,0.0002014253289704,0.9245097207037788,136718
shake_shake_32d,1,26,89.07197827071073,89.2992938620315,1738467335,0.1375573310751909,0.0004023320494492,0.9610630668229064,112641
shake_shake_32d,1,27,31.04572204617474,31.71283722614521,245851318,0.2959572638037607,0.003701944800488,0.93810996645893,107139
shake_shake_32d,1,28,94.53146220009054,94.56816947311243,618801418,0.1568740951144174,1.8542130636935697e-05,0.8992508531451009,128306
shake_shake_32d,1,29,94.9117247623359,94.90313235560384,1607306187,0.0066407906416866,0.0087109995523533,0.8364546193091792,92712
shake_shake_32d,2,0,94.5662965971658,94.7202166064982,870470596,0.0100319381747967,0.0010707875805573,0.869721780683258,101363
shake_shake_32d,2,1,84.67370701326834,85.4783393501805,1269311077,0.1972313537558007,0.0016367586582444,0.8738224959987438,94278
shake_shake_32d,2,2,86.84899359147937,87.12093862815884,865294968,0.0971828223096121,0.0031045707360658,0.8749063024021144,112459
shake_shake_32d,2,3,60.52892860366459,62.418772563176894,120178234,0.4306552970376744,0.0020299757877834,0.8878669968433889,128003
shake_shake_32d,2,4,94.53019225561874,94.54873646209386,304593768,0.0248124788370137,5.7903785116106735e-05,0.9684421140097024,135515
shake_shake_32d,2,5,94.2052531816951,94.15162454873646,1515272734,0.1020781314865059,0.0009355747683041,0.8996741182886939,82546
shake_shake_32d,2,6,91.29885368715588,91.44404332129965,1589038884,0.0073413281915985,4.401648592326861e-05,0.8160354789168028,139021
shake_shake_32d,2,7,94.4850618286849,94.59386281588448,792876670,0.0254309357161929,0.0001256739863219,0.966003166401485,82981
shake_shake_32d,2,8,94.82805307338208,94.64801444043322,475721741,0.027060039621424,4.854271520210598e-05,0.9875874443063748,86863
shake_shake_32d,2,9,59.193067966422966,60.37003610108303,1158131079,0.0576314482180795,0.0035553414448556,0.9793825194796096,93645
shake_shake_32d,2,10,72.08231789872733,73.39350180505416,1475690947,0.1473089801302481,0.0010771509841705,0.9545618483080264,112043
shake_shake_32d,2,11,92.75205343442548,92.91516245487364,288350643,0.0074665421902174,0.0003165446442904,0.8651931019306325,110927
shake_shake_32d,2,12,46.25868760718476,47.22924187725632,123801111,0.2399870664423435,0.006791734790687,0.8533199144508785,94080
