architecture,n_runs,val_mean,val_ci_lo,val_ci_hi,test_mean,test_ci_lo,test_ci_hi,upper_bound,headroom_val,headroom_test,captured_frac
shake_shake_32d,30,95.36415237305508,95.29157311856318,95.43595009980812,95.47246014392441,95.40765711272887,95.53569360565464,100.0,4.635847626944923,4.527539856075592,0.023363099822309528
resnet_basic_32,30,93.0977538438012,92.99972381290524,93.1927941920105,93.25398694035417,93.15935430157015,93.33895082984489,100.0,6.9022461561987996,6.746013059645833,0.022635109356778923
resnet_basic_44,30,93.60999480195498,93.5129668131576,93.71201654691849,93.73496650089828,93.64626842471846,93.8258468711076,100.0,6.390005198045017,6.265033499101719,0.019557370466855427
resnet_basic_56,30,93.73589299001517,93.65575364134895,93.81916078632207,93.81336281085645,93.74066786194479,93.88697806972463,100.0,6.264107009984826,6.186637189143553,0.012367256931880002
vgg_15_BN_64,30,93.58209871873295,93.49563282499962,93.67611220126734,93.70880115537997,93.61672496411909,93.80592257744696,100.0,6.417901281267049,6.291198844620027,0.019742035767494427
resnet_basic_20,30,92.34255796072804,92.2546096458384,92.42897396328628,92.52496098413056,92.43704019807814,92.61152828704849,100.0,7.657442039271956,7.4750390158694415,0.023820359653660104
mobilenetv2,30,94.42714856088902,94.33506134037975,94.5173022218187,94.51069806486329,94.43012849528203,94.59565181347567,100.0,5.572851439110977,5.489301935136709,0.014992236001108373
resnet9,30,94.67998281727829,94.60302408357028,94.7583620727173,94.78778113540677,94.71643466274793,94.85902932801734,100.0,5.320017182721713,5.2122188645932255,0.020262776308052895
