val_trial,test_trial,new_trial,val_test_acc,test_test_acc,new_test_acc,val_cifar101_acc,test_cifar101_acc,new_cifar101_acc,n_trials,architecture,run,source
11,8,8,94.97923063030522,95.43073866714828,95.43073866714828,88.4,89.4,89.4,28,shake_shake_32d,0,random
16,19,13,95.02082201701974,95.33767879775483,95.1475647293138,88.25,88.55,88.7,27,shake_shake_32d,1,random
20,16,24,95.21660649819496,95.56859205776172,95.03610108303248,88.4,88.5,89.2,29,shake_shake_32d,2,random
9,9,9,95.63715688056718,95.63715688056718,95.63715688056718,89.55,89.55,89.55,30,shake_shake_32d,3,random
9,24,21,95.07558613198154,95.41957092423284,94.95790712410609,88.65,88.3,89.3,28,shake_shake_32d,4,random
0,17,17,95.29198732458126,95.46401086464464,95.46401086464464,88.95,89.1,89.1,29,shake_shake_32d,5,random
8,8,8,95.12700414339758,95.12700414339758,95.12700414339758,88.95,88.95,88.95,27,shake_shake_32d,6,random
12,12,16,95.44509715318571,95.44509715318571,95.16493447808404,88.9,88.9,89.0,30,shake_shake_32d,7,random
14,16,14,95.31546168426752,95.66747901435149,95.31546168426752,88.75,88.5,88.75,28,shake_shake_32d,8,random
20,23,20,95.2346570397112,95.33393501805054,95.2346570397112,89.2,88.6,89.2,30,shake_shake_32d,9,random
4,4,4,95.56716821335256,95.56716821335256,95.56716821335256,88.95,88.95,88.95,28,shake_shake_32d,10,random
24,28,24,95.40816326530611,95.53571428571428,95.40816326530611,89.5,88.95,89.5,29,shake_shake_32d,11,random
26,26,16,95.437641723356,95.437641723356,95.27437641723355,89.1,89.1,89.8,30,shake_shake_32d,12,random
8,8,5,95.13913986266716,95.13913986266716,94.9584387423202,87.6,87.6,88.7,28,shake_shake_32d,13,random
24,3,26,95.5404178019982,95.61307901907357,95.4677565849228,89.0,88.25,89.05,29,shake_shake_32d,14,random
18,0,17,94.91232851821567,95.13945670936675,95.1031161987826,88.2,88.6,88.7,8,shake_shake_32d,15,random
4,3,3,95.79824323100608,95.91596486462012,95.91596486462012,89.45,89.65,89.65,20,shake_shake_32d,16,random
5,8,5,95.4052098408104,95.45947901591896,95.4052098408104,89.1,88.9,89.1,20,shake_shake_32d,17,random
17,17,17,95.18083182640144,95.18083182640144,95.18083182640144,89.65,89.65,89.65,20,shake_shake_32d,18,random
9,9,14,95.53417445765636,95.53417445765636,95.13479168557684,87.95,87.95,89.05,20,shake_shake_32d,19,random
2,8,8,95.38070605318087,95.46238315636629,95.46238315636629,88.45,89.05,89.05,20,shake_shake_32d,20,random
1,1,14,95.61085972850678,95.61085972850678,95.21266968325791,89.15,89.15,89.65,20,shake_shake_32d,21,random
7,18,6,95.27259554428544,95.49900380365877,94.79261003441404,88.6,88.65,88.85,20,shake_shake_32d,22,random
2,2,4,95.51711646440862,95.51711646440862,95.08241260641188,88.85,88.85,89.25,20,shake_shake_32d,23,random
3,3,3,95.08465319497542,95.08465319497542,95.08465319497542,88.6,88.6,88.6,20,shake_shake_32d,24,random
6,6,6,95.48263952008726,95.48263952008726,95.48263952008726,88.3,88.3,88.3,20,shake_shake_32d,25,random
12,12,12,95.53732419761992,95.53732419761992,95.53732419761992,88.7,88.7,88.7,20,shake_shake_32d,26,random
6,7,7,95.25967551889784,95.39563128795432,95.39563128795432,88.75,89.8,89.8,20,shake_shake_32d,27,random
8,8,13,95.7678138197502,95.7678138197502,95.25563842214036,88.6,88.6,88.8,20,shake_shake_32d,28,random
9,9,9,95.21962658969964,95.21962658969964,95.21962658969964,89.1,89.1,89.1,20,shake_shake_32d,29,random
1,10,13,93.30574050746806,93.74662587727192,93.50368904084938,85.6,85.6,85.8,28,vgg_15_BN_64,0,random
20,20,20,93.76590330788804,93.76590330788804,93.76590330788804,86.7,86.7,86.7,27,vgg_15_BN_64,1,random
12,12,20,93.71433746943212,93.71433746943212,93.37922289647676,85.2,85.2,86.05,26,vgg_15_BN_64,2,random
3,9,3,93.46842771847297,93.64031119956576,93.46842771847297,85.6,84.95,85.6,30,vgg_15_BN_64,3,random
0,0,17,93.27859978347168,93.27859978347168,93.1793576326236,85.9,85.9,86.45,30,vgg_15_BN_64,4,random
1,1,1,93.50920134167346,93.50920134167346,93.50920134167346,84.9,84.9,84.9,26,vgg_15_BN_64,5,random
13,19,13,93.4072928980631,93.64372101482222,93.4072928980631,85.9,85.25,85.9,28,vgg_15_BN_64,6,random
1,1,18,93.61028147343652,93.61028147343652,92.8319304914472,85.45,85.45,85.75,30,vgg_15_BN_64,7,random
2,2,17,93.69125090383226,93.69125090383226,93.62798264642082,86.5,86.5,86.95,30,vgg_15_BN_64,8,random
25,23,21,93.52061622111464,93.6202990484821,93.0222020842773,84.65,85.05,85.6,28,vgg_15_BN_64,9,random
9,1,26,93.70875892615022,93.87146343668084,93.60932839193708,85.05,85.15,86.3,30,vgg_15_BN_64,10,random
7,3,7,94.09470246734398,94.10377358490568,94.09470246734398,86.2,84.4,86.2,27,vgg_15_BN_64,11,random
17,27,9,93.774810537712,94.20786719595814,93.86503067484662,85.95,85.3,86.05,26,vgg_15_BN_64,12,random
13,13,5,93.54984212900315,93.54984212900315,93.14388813712225,85.7,85.7,85.95,29,vgg_15_BN_64,13,random
10,17,16,93.2519222071461,93.49615558570784,93.28810492989598,85.3,85.05,85.6,30,vgg_15_BN_64,14,random
15,15,4,93.4011073795044,93.4011073795044,92.91095579558863,85.8,85.8,86.2,20,vgg_15_BN_64,15,random
1,13,17,93.34425930984249,93.48083401620688,92.83438040608212,84.25,84.95,85.3,20,vgg_15_BN_64,16,random
5,5,4,93.82917119073473,93.82917119073473,93.48534201954398,84.7,84.7,85.45,20,vgg_15_BN_64,17,random
11,18,18,93.74033299972704,94.44090619597851,94.44090619597851,85.85,85.95,85.95,20,vgg_15_BN_64,18,random
2,2,0,94.19671237853056,94.19671237853056,93.58822995186632,85.25,85.25,85.7,20,vgg_15_BN_64,19,random
0,0,9,93.4768841038632,93.4768841038632,93.35022165927802,85.05,85.05,86.5,20,vgg_15_BN_64,20,random
0,18,18,93.3785004516712,93.51400180668472,93.51400180668472,84.75,85.85,85.85,20,vgg_15_BN_64,21,random
10,12,12,93.66699792212484,93.73927184027464,93.73927184027464,85.1,86.05,86.05,20,vgg_15_BN_64,22,random
0,9,2,93.1966618287373,93.40529753265602,93.22387518142236,84.55,83.55,84.9,20,vgg_15_BN_64,23,random
18,9,4,93.27435226144264,93.4097679877223,93.0215762390539,84.55,84.2,85.6,20,vgg_15_BN_64,24,random
16,16,16,93.52903753521768,93.52903753521768,93.52903753521768,85.85,85.85,85.85,20,vgg_15_BN_64,25,random
2,15,1,93.1349493487699,93.34298118668596,92.97214182344428,85.15,85.4,85.45,20,vgg_15_BN_64,26,random
9,9,4,93.48373179938882,93.48373179938882,93.18712924680928,85.35,85.35,85.9,20,vgg_15_BN_64,27,random
8,8,3,93.5440057950018,93.5440057950018,93.29047446577329,85.8,85.8,86.05,20,vgg_15_BN_64,28,random
