architecture,n_runs,mean_val_strategy,std_val_strategy,mean_test_strategy,std_test_strategy,mean_gap,std_gap,median_gap,max_gap,pct_runs_with_gap,n_zero_gap,p_a_gt_b,ci_lower,ci_upper,significant,meaningful,conclusion
resnet_basic_20,30,92.34255796072804,0.24815538376710428,92.52496098413056,0.24910766060254327,0.18240302340252632,0.18646686290009573,0.1264222760884266,0.6709583824462726,70.0,9,0.85,0.7666666666666667,0.9333333333333333,True,True,True
resnet_basic_32,30,93.0977538438012,0.2772387456509974,93.25398694035417,0.25662871799685627,0.15623309655294929,0.1818449843367026,0.06800066314329455,0.6433490395070578,56.666666666666664,13,0.7833333333333333,0.7,0.8666666666666667,True,True,True
vgg_15_BN_64,30,93.58209871873295,0.2583883062045394,93.70880115537997,0.2699783277861053,0.12670243664706174,0.18519820340686696,0.0045355587808515,0.7005731962514687,50.0,15,0.75,0.6666666666666666,0.8333333333333334,True,True,True
resnet_basic_44,30,93.60999480195498,0.28573043425432904,93.73496650089828,0.2568841835978453,0.12497169894330114,0.17063777256727305,0.04066060946453825,0.6259071117561916,53.333333333333336,14,0.7666666666666667,0.6833333333333333,0.85,True,True,True
resnet_basic_56,30,93.73589299001517,0.23619681541299165,93.81336281085645,0.21087708108962877,0.07746982084125734,0.12973148674630416,0.0,0.5171944469648793,43.333333333333336,17,0.7166666666666667,0.6333333333333333,0.8,True,True,True
mobilenetv2,30,94.42714856088902,0.2594771465739279,94.51069806486329,0.23522769185123982,0.08354950397427198,0.12730487472568652,0.0,0.3702031602708757,40.0,18,0.7,0.6166666666666667,0.7833333333333333,True,True,True
resnet9,30,94.67998281727829,0.2220316561979876,94.78778113540677,0.20173330850376892,0.10779831812847834,0.1667933501725297,0.0,0.6495263870094874,46.666666666666664,16,0.7333333333333333,0.65,0.8166666666666667,True,True,True
shake_shake_32d,30,95.36415237305508,0.20860858047623634,95.47246014392441,0.1823371344521976,0.10830777086932004,0.13840117268994181,0.04543310262106095,0.4515080368430517,53.333333333333336,14,0.7666666666666667,0.6833333333333333,0.85,True,True,True
